Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Status
a-light-in-the-attic,A Light in the Attic,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-001,51.77,https://books.toscrape.com/../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,active
tipping-the-velvet,Tipping the Velvet,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-002,53.74,https://books.toscrape.com/../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,active
soumission,Soumission,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-003,50.1,https://books.toscrape.com/../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,active
sharp-objects,Sharp Objects,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-004,47.82,https://books.toscrape.com/../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,active
sapiens-a-brief-history-of-humankind,Sapiens: A Brief History of Humankind,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-005,54.23,https://books.toscrape.com/../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,active
the-requiem-red,The Requiem Red,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-006,22.65,https://books.toscrape.com/../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,active
the-dirty-little-secrets-of-getting-your-dream-job,The Dirty Little Secrets of Getting Your Dream Job,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-007,33.34,https://books.toscrape.com/../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,active
the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-008,17.93,https://books.toscrape.com/../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,active
the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-009,22.6,https://books.toscrape.com/../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,active
the-black-maria,The Black Maria,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-010,52.15,https://books.toscrape.com/../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,active
starving-hearts-triangular-trade-trilogy-1,"Starving Hearts (Triangular Trade Trilogy, #1)",<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-011,13.99,https://books.toscrape.com/../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,active
shakespeare-s-sonnets,Shakespeare's Sonnets,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-012,20.66,https://books.toscrape.com/../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,active
set-me-free,Set Me Free,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-013,17.46,https://books.toscrape.com/../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,active
scott-pilgrim-s-precious-little-life-scott-pilgrim-1,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-014,52.29,https://books.toscrape.com/../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,active
rip-it-up-and-start-again,Rip it Up and Start Again,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-015,35.02,https://books.toscrape.com/../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,active
our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-016,57.25,https://books.toscrape.com/../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,active
olio,Olio,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-017,23.88,https://books.toscrape.com/../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,active
mesaerion-the-best-science-fiction-stories-1800-1849,Mesaerion: The Best Science Fiction Stories 1800-1849,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-018,37.59,https://books.toscrape.com/../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,active
libertarianism-for-beginners,Libertarianism for Beginners,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-019,51.33,https://books.toscrape.com/../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,active
it-s-only-the-himalayas,It's Only the Himalayas,<p>Sample book description</p>,Books Demo,Book,"scraped, book",TRUE,Title,Default Title,BK-020,45.17,https://books.toscrape.com/../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,active
